id,public_metrics,entities,created_at,text,user_id,author
1357086134363381761,"{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 16, 'username': 'cem_oezdemir', 'id': '19108766'}, {'start': 18, 'end': 29, 'username': 'dbroessler', 'id': '60846834'}, {'start': 30, 'end': 34, 'username': 'DLF', 'id': '212407067'}, {'start': 35, 'end': 43, 'username': 'navalny', 'id': '82299300'}]}",2021-02-03T21:58:42.000Z,RT @cem_oezdemir: @dbroessler @DLF @navalny Die nächste Bundesregierung muss sich den Menschenrechten verpflichtet fühlen &amp; Sozialdemokrate…,19108766,Cem Özdemir
1357085621127364614,"{'retweet_count': 10, 'reply_count': 18, 'like_count': 147, 'quote_count': 1}","{'mentions': [{'start': 0, 'end': 11, 'username': 'dbroessler', 'id': '60846834'}, {'start': 12, 'end': 16, 'username': 'DLF', 'id': '212407067'}, {'start': 17, 'end': 25, 'username': 'navalny', 'id': '82299300'}]}",2021-02-03T21:56:40.000Z,"@dbroessler @DLF @navalny Die nächste Bundesregierung muss sich den Menschenrechten verpflichtet fühlen &amp; Sozialdemokraten sollten häufiger die Internationale singen. Dort heißt es: „Die Internationale erkämpft das Menschenrecht“, nicht „das korrupte Unterdrückerrecht“ von Erdogan &amp; Putin!",19108766,Cem Özdemir
1357077288945389569,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 16, 'username': 'Michael_Jahn_GB', 'id': '1241309906063499265'}, {'start': 17, 'end': 29, 'username': 'DirtyDoomed', 'id': '1278794096350564353'}]}",2021-02-03T21:23:33.000Z,"@Michael_Jahn_GB @DirtyDoomed ed, eddâ = nicht",19108766,Cem Özdemir
1357075844624224266,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 16, 'username': 'Michael_Jahn_GB', 'id': '1241309906063499265'}]}",2021-02-03T21:17:49.000Z,@Michael_Jahn_GB Wir haben GONZALITUKA &amp; Co. Ziel immer noch Klassenerhalt.,19108766,Cem Özdemir
1357070376904384514,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 8, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 12, 'username': 'DirtyDoomed', 'id': '1278794096350564353'}]}",2021-02-03T20:56:05.000Z,"@DirtyDoomed Wenn jemand sich Susette Gontard nennt, muss man ihr folgen. „Hölderlin isch ed verruggt gwä“! Er war einfach verliebt in die Freiheit &amp; seine Susette. Beides damals unerreichbar für ihn.",19108766,Cem Özdemir
1356991220732559361,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 13, 'username': 'MockPeter', 'id': '2201468122'}]}",2021-02-03T15:41:33.000Z,RT @MockPeter: Im Laufe des Jahres 2020 holte Baden-Württemberg deutlich auf und konnte schließlich gemeinsam mit Schleswig-Holstein und Be…,19108766,Cem Özdemir
1356991189891874816,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 10, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 13, 'username': 'AfDLindemann', 'id': '743119080421490688'}]}",2021-02-03T15:41:26.000Z,"@AfDLindemann Weiß #Putin schon, dass Sie so über ihn reden?",19108766,Cem Özdemir
1356987497482436610,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 77, 'quote_count': 0}","{'mentions': [{'start': 5, 'end': 19, 'username': 'PeteButtigieg', 'id': '226222147'}]}",2021-02-03T15:26:45.000Z,"Dear @PeteButtigieg, congratulations on your confirmation as transport secretary in the #BidenHarrisAdministration! Let‘s beat climate change &amp; boost mobility by modernizing the transport sector. The Times They Are a-Changin' 🎶 https://t.co/7Bh0a9Yt6Y",19108766,Cem Özdemir
1356943807628115969,"{'retweet_count': 14, 'reply_count': 17, 'like_count': 187, 'quote_count': 3}",,2021-02-03T12:33:09.000Z,"Der Mut &amp; die Kreativität der Protestierenden an der #Bogazici-Universität beeindrucken mich sehr. Dass #Erdogan darauf mit Scharfschützen reagiert, ist unfassbar. Ich erwarte von der Bundesregierung, dass sie endlich echte Solidarität mit den Menschen in der #Türkei zeigt.",19108766,Cem Özdemir
1356943805841293313,"{'retweet_count': 27, 'reply_count': 25, 'like_count': 220, 'quote_count': 3}","{'mentions': [{'start': 15, 'end': 19, 'username': 'akk', 'id': '47620601'}]}",2021-02-03T12:33:08.000Z,"Am Tag, an dem @akk sich mit dem türkischen Verteidigungsminister trifft, werden in #Istanbul über 200 Demonstrierende festgenommen. Ich hoffe, AKK hat das angesprochen! Auch für die #NATO sind Demokratie &amp; Rechtsstaatlichkeit Grundwerte. https://t.co/FaoYXnYrSt",19108766,Cem Özdemir
1356943189022752770,"{'retweet_count': 2, 'reply_count': 8, 'like_count': 23, 'quote_count': 2}","{'mentions': [{'start': 241, 'end': 254, 'username': 'DFL_Official', 'id': '937677865453268992'}]}",2021-02-03T12:30:41.000Z,"Arbeit der #DFL-#Taskforce hat sich richtig gelohnt. Echte Meilensteine: Nachhaltigkeit, Menschenrechte, Geschlechtergerechtigkeit, mehr Demokratie und Fairness. Danke Christian Seifert für den mutigen Prozess. Umsetzung liegt jetzt bei der @DFL_Official. 
https://t.co/pS4mx8a87O",19108766,Cem Özdemir
1356666398525837312,"{'retweet_count': 19, 'reply_count': 2, 'like_count': 308, 'quote_count': 1}","{'mentions': [{'start': 266, 'end': 277, 'username': 'CDunkelrot', 'id': '1195347289134510080'}]}",2021-02-02T18:10:49.000Z,"Wollte eigentlich keine offenen Briefe zum #VfB mehr lesen, aber dieser ist stark. Darum geht's jetzt: sportlicher Erfolg, Identifikation der Fans mit dem Verein und lückenlose Aufklärung der Datenaffäre dürfen kein Widerspruch sein. Es geht um den VfB. Vielen Dank @CDunkelrot! https://t.co/CMkraCAhDF",19108766,Cem Özdemir
1356661072153874432,"{'retweet_count': 72, 'reply_count': 63, 'like_count': 617, 'quote_count': 11}",,2021-02-02T17:49:39.000Z,"Die Verurteilung #Nawalny|s ist rein politisch motiviert. Daran besteht genauso kein Zweifel wie an der völkerrechtswidrigen Annexion der Krim, den Kriegsverbrechen des #Kreml in Syrien [...]

Doch die Bundesregierung spielt weiter Putins Spaltpilz.

#NordStream2 #FreeNavalny",19108766,Cem Özdemir
1356601460545445889,"{'retweet_count': 8, 'reply_count': 10, 'like_count': 115, 'quote_count': 1}",,2021-02-02T13:52:47.000Z,"Im Profifußball funktionieren die ""Selbstreinigungskräfte des Marktes"" schon lange nicht mehr. 
Salary Cap, Übermaßabgabe, financial fairplay - Vorschläge liegen auf dem Tisch. Nichts davon zu machen, wird auf Dauer nicht funktionieren. 👇

https://t.co/B8Ap6pfx39",19108766,Cem Özdemir
1356586937151336449,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 11, 'username': 'andmoeller', 'id': '2785302844'}, {'start': 12, 'end': 24, 'username': 'TRUMPF_News', 'id': '44078294'}, {'start': 25, 'end': 36, 'username': 'JanSellner', 'id': '1356438770'}, {'start': 37, 'end': 46, 'username': 'StZ_NEWS', 'id': '18552451'}, {'start': 47, 'end': 56, 'username': 'StN_News', 'id': '18759950'}]}",2021-02-02T12:55:04.000Z,@andmoeller @TRUMPF_News @JanSellner @StZ_NEWS @StN_News Mein herzliches Beileid. Ein tolles Porträt einer beeindruckenden Frau.,19108766,Cem Özdemir
1356570116390060034,"{'retweet_count': 1, 'reply_count': 6, 'like_count': 29, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 15, 'username': 'authenticsilvr', 'id': '2731506262'}]}",2021-02-02T11:48:14.000Z,"@authenticsilvr Leider haben Sie meine Antwort aus dem Kontext gerissen: Ich wurde vom Moderator gefragt, wie wir uns zur Kritik an Israel in den VN verhalten werden. Darauf meine Antwort zu den Siedlungen. Bitte fair bleiben!",19108766,Cem Özdemir
